Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,0.338871 ,0.339137 ,0.338742 
3,2,0.170649 ,0.171461 ,0.170621 
3,4,0.162888 ,0.162242 ,0.163638 
3,8,0.160201 ,0.169839 ,0.163748 
3,16,0.165904 ,0.163747 ,0.170383 
5,1,0.866811 ,0.867223 ,0.866001 
5,2,0.437131 ,0.434922 ,0.434179 
5,4,0.414559 ,0.417229 ,0.411114 
5,8,0.411514 ,0.413094 ,0.418658 
5,16,0.420794 ,0.432592 ,0.419481 
7,1,1.619498 ,1.608943 ,1.612506 
7,2,0.825033 ,0.813973 ,0.805577 
7,4,0.892861 ,0.758108 ,0.761255 
7,8,0.793498 ,0.767324 ,0.782601 
7,16,0.780546 ,0.788572 ,0.787227 
9,1,2.608178 ,2.590578 ,2.615873 
9,2,1.297784 ,1.299555 ,1.348986 
9,4,1.216048 ,1.225604 ,1.324520 
9,8,1.247049 ,1.249342 ,1.261313 
9,16,1.308368 ,1.280838 ,1.292162 
11,1,4.217758 ,4.213447 ,4.201357 
11,2,2.097168 ,2.134800 ,2.099562 
11,4,1.914769 ,1.884310 ,1.882938 
11,8,1.954436 ,1.925966 ,1.979693 
11,16,1.965919 ,1.976026 ,1.990186 
13,1,5.732983 ,5.736133 ,5.728646 
13,2,2.894742 ,2.863573 ,2.932362 
13,4,2.617295 ,2.584814 ,2.653243 
13,8,2.681836 ,2.698978 ,2.652015 
13,16,2.731582 ,2.706310 ,2.712072 
15,1,7.509648 ,7.509876 ,7.510528 
15,2,3.780728 ,3.784069 ,3.780095 
15,4,3.399943 ,3.439025 ,3.483560 
15,8,3.509397 ,3.548055 ,3.542283 
15,16,3.589869 ,3.575341 ,3.604135 
