Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,3.285776 ,3.283930 ,3.274568 
3,2,1.642887 ,1.641608 ,1.643169 
3,4,1.581149 ,1.582820 ,1.581005 
3,8,1.608752 ,1.602597 ,1.602970 
3,16,1.579504 ,1.593037 ,1.585339 
5,1,8.532178 ,8.538353 ,8.519571 
5,2,4.279869 ,4.281083 ,4.281450 
5,4,4.137535 ,4.113406 ,4.137710 
5,8,4.126915 ,4.123642 ,4.115086 
5,16,4.115946 ,4.114758 ,4.116244 
7,1,15.879132 ,15.889749 ,16.183513 
7,2,8.051652 ,7.966717 ,7.984441 
7,4,7.800380 ,7.802183 ,7.815361 
7,8,7.802542 ,7.815851 ,7.857407 
7,16,7.806125 ,7.804592 ,7.803689 
9,1,25.654967 ,25.646668 ,25.669733 
9,2,12.839409 ,12.835044 ,12.897747 
9,4,12.697844 ,12.713442 ,12.697073 
9,8,12.764779 ,12.728112 ,12.771592 
9,16,12.699265 ,12.724646 ,12.702175 
11,1,37.820373 ,37.872144 ,37.892542 
11,2,18.965293 ,18.983898 ,18.950547 
11,4,18.840413 ,18.831486 ,18.895398 
11,8,18.867639 ,18.866443 ,18.863828 
11,16,18.875263 ,18.840518 ,18.834817 
13,1,56.277916 ,56.276054 ,56.274234 
13,2,28.217496 ,28.172663 ,28.178941 
13,4,26.971090 ,26.955625 ,26.954113 
13,8,26.966087 ,27.027140 ,27.011684 
13,16,26.943671 ,27.445449 ,27.034105 
15,1,74.088605 ,74.064534 ,74.037737 
15,2,37.043063 ,37.092596 ,37.379661 
15,4,35.923274 ,35.743985 ,35.753452 
15,8,35.729783 ,35.739623 ,35.817825 
15,16,35.742407 ,35.706283 ,35.746395 
