Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,0.338077 ,0.337476 ,0.337879 
3,2,0.184178 ,0.202736 ,0.189446 
3,4,0.155099 ,0.152904 ,0.165165 
3,8,0.171492 ,0.158153 ,0.168467 
3,16,0.155507 ,0.155833 ,0.158615 
5,1,0.868034 ,0.868335 ,0.880919 
5,2,0.441693 ,0.443509 ,0.444721 
5,4,0.401213 ,0.401140 ,0.399912 
5,8,0.403331 ,0.396831 ,0.396212 
5,16,0.399817 ,0.407303 ,0.400626 
7,1,1.621300 ,1.612236 ,1.621518 
7,2,0.820318 ,0.819728 ,0.824965 
7,4,0.744727 ,0.744092 ,0.743761 
7,8,0.761580 ,0.751140 ,0.753447 
7,16,0.771822 ,0.760259 ,0.769345 
9,1,2.597287 ,2.598765 ,2.597840 
9,2,1.324968 ,1.322082 ,1.321335 
9,4,1.203093 ,1.202154 ,1.202743 
9,8,1.231750 ,1.230598 ,1.205577 
9,16,1.246149 ,1.245726 ,1.242260 
11,1,4.147548 ,4.145649 ,4.146179 
11,2,2.106296 ,2.106851 ,2.106620 
11,4,1.848168 ,1.853186 ,1.851805 
11,8,1.889940 ,1.888931 ,1.901738 
11,16,1.895731 ,1.934271 ,1.900238 
13,1,5.692461 ,5.693128 ,5.693984 
13,2,2.891842 ,2.893209 ,2.894114 
13,4,2.553989 ,2.553904 ,2.553445 
13,8,2.598560 ,2.579251 ,2.610506 
13,16,2.637532 ,2.645213 ,2.641662 
15,1,7.467002 ,7.467096 ,7.467391 
15,2,3.792301 ,3.792697 ,3.792080 
15,4,3.362122 ,3.365959 ,3.373894 
15,8,3.431377 ,3.449033 ,3.427076 
15,16,3.525322 ,3.482631 ,3.483539
