Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,0.766337 ,0.766048 ,0.765532 
3,2,0.385688 ,0.386140 ,0.385481 
3,4,0.344067 ,0.343110 ,0.365173 
3,8,0.347966 ,0.342826 ,0.353711 
3,16,0.355526 ,0.353433 ,0.354312 
5,1,1.971776 ,1.967091 ,1.963190
5,2,0.989761 ,0.986616 ,0.986618 
5,4,0.877989 ,0.891450 ,0.877871  
5,8,0.899654 ,0.922413 ,0.903667 
5,16,0.917575 ,0.923049 ,0.914207  
7,1,3.667763 ,3.641144 ,3.638420 
7,2,1.825800 ,1.846752 ,1.823895 
7,4,1.639176 ,1.636250 ,1.634635 
7,8,1.703017 ,1.705835 ,1.708168 
7,16,1.732556 ,1.734406 ,1.757683 
9,1,5.859645 ,5.854516 ,5.860465 
9,2,2.937233 ,2.936835 ,2.939942 
9,4,2.656044 ,2.653757 ,2.656017 
9,8,2.759762 ,2.769140 ,2.760286 
9,16,2.806666 ,2.808380 ,2.805380 
11,1,9.332144 ,9.338780 ,9.663020 
11,2,4.679089 ,4.679177 ,4.709442 
11,4,4.103055 ,4.108315 ,4.105047 
11,8,4.276071 ,4.265993 ,4.274405 
11,16,4.316330 ,4.308132 ,4.308013 
13,1,12.812775 ,12.822478 ,12.837777 
13,2,6.424664 ,6.422817 ,6.425053 
13,4,5.633239 ,5.641545 ,5.632817 
13,8,5.848909 ,5.876359 ,5.840006 
13,16,5.946858 ,5.951506 ,6.047187 
15,1,16.807303 ,16.807260 ,16.809974 
15,2,8.423140 ,8.433124 ,8.419780 
15,4,7.589574 ,7.427694 ,7.427827 
15,8,7.742477 ,7.981213 ,7.749122 
15,16,7.846863 ,7.861803 ,7.844795 

