Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,3.139758,1.466817,1.487999
1,4,0.855238,0.872075,0.850125
1,8,0.581323,0.577967,0.551241
1,16,0.429087,0.427436,0.381417
1,32,0.308684,0.306704,0.307494
1,64,0.264983,0.264094,0.264708
1,128,0.245797,0.246590,0.285752
1,256,0.244795,0.241377,0.243522
2,2,0.872958,0.853989,0.871056
2,4,0.544853,0.554801,0.526840
2,8,0.401582,0.427972,0.426258
2,16,0.327740,0.371839,0.350084
2,32,0.264771,0.262617,0.277366
2,64,0.286267,0.252126,0.301591
2,128,0.239136,0.244387,0.293547
2,256,0.749463,0.732115,0.763524
7,2,0.456123,0.455474,0.404672
7,4,0.347265,0.348420,0.346811
7,8,0.356393,0.390732,0.354931
7,16,0.380515,0.334202,0.388362
7,32,0.533516,0.532499,0.584561
7,64,1.016700,0.996758,0.996668
7,128,1.000135,1.000170,1.027218
7,256,2.685086,2.707590,2.684966
14,2,0.382237,0.380317,0.371801
14,4,0.408815,0.356264,0.356732
14,8,0.336022,0.337544,0.335262
14,16,0.556664,0.534349,0.578681
14,32,0.995179,0.986918,0.947818
14,64,0.993867,0.998091,0.968890
14,128,2.653895,2.656403,2.678239
14,256,2.672580,2.686994,2.685000
21,2,0.369907,0.367317,0.340221
21,4,0.289358,0.339696,0.290712
21,8,0.432553,0.435879,0.432384
21,16,0.767709,0.791254,0.790463
21,32,1.418629,1.402190,1.412657
21,64,2.672025,2.647255,2.678299
21,128,2.667047,2.685662,2.699660
21,256,2.679035,2.647963,2.682662
28,2,0.406517,0.378532,0.355080
28,4,0.334474,0.335805,0.387640
28,8,0.539868,0.533613,0.584222
28,16,1.001366,0.971674,1.008226
28,32,0.993078,0.967073,1.001319
28,64,2.660412,2.670225,2.670854
28,128,2.693350,2.669031,2.654110
28,256,2.660971,2.689175,2.702796
