Num_blocks,Threads,Kernel_size,Try_1,Try_2,Try_3
1,128,3,1.824727,1.796813,1.683218
1,128,5,2.152584,2.153554,2.073072
1,128,7,2.664745,2.630439,2.631128
1,128,9,3.711410,3.713134,3.712254
1,128,11,4.841580,4.847444,4.847154
1,128,13,5.621807,5.622699,5.621780
1,128,15,7.106511,7.104655,7.104347
1,192,3,1.543329,1.720036,1.543166
1,192,5,1.757522,1.772376,1.759770
1,192,7,2.215070,2.210488,2.210350
1,192,9,2.939513,2.936807,2.937500
1,192,11,3.724557,3.722117,3.723434
1,192,13,4.560463,4.560431,4.561664
1,192,15,5.732097,5.731706,5.733708
1,256,3,1.467846,1.467709,1.468338
1,256,5,1.605399,1.604039,1.602841
1,256,7,1.930180,1.932038,1.932971
1,256,9,2.473570,2.477977,2.474838
1,256,11,3.074767,3.073807,3.073963
1,256,13,3.699501,3.693096,3.690426
1,256,15,4.574769,4.573849,4.579507
3,128,3,1.382548,1.377944,1.377931
3,128,5,1.427041,1.424133,1.425864
3,128,7,1.606468,1.616641,1.613601
3,128,9,1.943231,1.943861,1.943233
3,128,11,2.325098,2.323045,2.324709
3,128,13,2.660615,2.642960,2.643235
3,128,15,3.174181,3.173676,3.180580
3,192,3,6.132666,6.131545,6.132735
3,192,5,10.306620,10.304164,10.303206
3,192,7,17.429018,17.428340,17.431228
3,192,9,29.007393,29.006404,29.008031
3,192,11,40.960408,40.964368,40.959369
3,192,13,48.357733,48.358956,48.357705
3,192,15,63.589869,63.591628,63.591868
3,256,3,2.077834,1.303546,1.302354
3,256,5,1.271604,1.276045,1.271586
3,256,7,1.322878,1.322315,1.380571
3,256,9,1.457702,1.458441,1.459653
3,256,11,1.620977,1.622014,1.621912
3,256,13,1.753488,1.753919,1.754926
3,256,15,1.991684,1.990629,1.990003
6,128,3,1.302357,1.302900,1.303568
6,128,5,1.271335,1.274901,1.276428
6,128,7,1.328996,1.322526,1.321885
6,128,9,1.458890,1.460661,1.459651
6,128,11,1.624530,1.627752,1.621384
6,128,13,1.762180,1.756522,1.757060
6,128,15,2.009270,1.994388,1.993156
6,192,3,6.107195,6.100828,6.100535
6,192,5,10.238397,10.237410,10.238128
6,192,7,17.314119,17.311592,17.309378
6,192,9,28.819492,28.821071,28.823480
6,192,11,40.691135,40.691917,40.691944
6,192,13,48.035226,48.016104,48.017648
6,192,15,63.129716,63.185455,63.212151
6,256,3,10.985639,10.961893,11.032486
6,256,5,19.297512,19.231789,19.278124
6,256,7,33.299217,33.448176,33.333274
6,256,9,56.134652,56.133701,56.143022
6,256,11,79.701069,79.580151,79.576624
6,256,13,94.076866,94.072774,94.072069
6,256,15,123.988650,123.988479,123.989708
