Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,49.450184,49.458312,49.446679
1,4,27.579767,27.555803,27.576773
1,8,16.577105,16.539317,16.567179
1,16,11.336935,11.328704,11.259014
1,32,9.508907,9.493294,9.593431
1,64,8.114088,8.030977,8.037758
1,128,6.999044,7.041275,6.974898
1,256,6.226100,6.276399,6.283784
2,2,27.473097,27.444823,27.419487
2,4,16.435955,16.413175,16.428816
2,8,10.967549,10.992889,10.988300
2,16,8.443079,8.459376,8.428411
2,32,7.572863,7.473997,7.498844
2,64,6.772868,6.732817,7.332056
2,128,6.146308,6.126021,6.121723
2,256,5.817471,5.771079,5.795534
7,2,11.814528,11.678688,11.660903
7,4,8.767056,8.732414,8.621397
7,8,7.088882,7.595244,7.587445
7,16,7.015188,6.965310,6.953819
7,32,6.619517,6.550692,6.578235
7,64,6.359809,6.329759,6.298178
7,128,11.325947,11.311484,11.259041
7,256,11.269770,11.234351,11.226149
14,2,8.604072,8.627535,8.563722
14,4,7.066684,7.028017,7.029455
14,8,6.967076,6.949612,6.907504
14,16,6.523500,6.543586,6.508351
14,32,6.374923,6.287294,6.396641
14,64,11.349418,11.215848,11.372789
14,128,11.254267,11.289403,11.256149
14,256,11.296709,11.247252,11.244194
21,2,7.914741,7.842164,7.895214
21,4,6.856970,6.910224,6.820044
21,8,7.287388,7.296429,7.309135
21,16,8.929805,8.894010,8.997314
21,32,8.883992,8.806411,8.797038
21,64,16.383020,16.339161,16.363934
21,128,31.587512,31.552008,31.502140
21,256,31.476014,31.419825,31.392464
28,2,7.141013,7.037703,7.062135
28,4,6.876408,6.949392,6.859278
28,8,6.508190,6.492406,6.484370
28,16,6.342954,6.284363,6.288840
28,32,11.294591,11.403130,11.315393
28,64,11.262689,11.230488,11.231680
28,128,11.256414,11.237861,11.196776
28,256,11.248397,11.194854,11.164129
