Num_blocks,Threads,Kernel_size,Try_1,Try_2,Try_3
1,128,3,0.594375,0.544472,0.586442
1,128,5,0.511621,0.570626,0.542680
1,128,7,0.643107,0.556991,0.545882
1,128,9,0.596605,0.695538,0.574949
1,128,11,0.698129,0.716615,0.724392
1,128,13,0.615663,0.606000,0.581283
1,128,15,0.837275,0.751347,0.763919
1,192,3,0.579509,0.525097,0.556966
1,192,5,0.490515,0.519016,0.505189
1,192,7,0.562129,0.563073,0.563363
1,192,9,0.559737,0.534008,0.509699
1,192,11,0.686843,0.668602,0.654275
1,192,13,0.555025,0.547648,0.554757
1,192,15,0.782526,0.807152,0.805121
1,256,3,0.519393,0.502664,0.490431
1,256,5,0.478531,0.506319,0.486571
1,256,7,0.501424,0.531534,0.510266
1,256,9,0.580527,0.577017,0.558453
1,256,11,0.617106,0.621082,0.637168
1,256,13,0.639689,0.649269,0.738964
1,256,15,0.858846,0.859565,0.846325
3,128,3,0.498027,0.515206,0.496155
3,128,5,0.566124,0.538981,0.476104
3,128,7,0.496503,0.475598,0.493647
3,128,9,0.480724,0.506321,0.485100
3,128,11,0.565185,0.546840,0.517189
3,128,13,0.498106,0.488031,0.509509
3,128,15,0.566302,0.613727,0.564873
3,192,3,0.511942,0.594243,0.594719
3,192,5,0.472546,0.464366,0.483527
3,192,7,0.478401,0.482449,0.488014
3,192,9,0.459447,0.473928,0.487696
3,192,11,0.518141,0.533109,0.511793
3,192,13,0.465397,0.465195,0.490196
3,192,15,0.566086,0.607259,0.609621
3,256,3,0.491361,0.474740,0.483310
3,256,5,0.455532,0.470274,0.463418
3,256,7,0.453676,0.479562,0.464282
3,256,9,0.503394,0.488062,0.512969
3,256,11,0.500659,0.550847,0.488230
3,256,13,0.513444,0.507669,0.526180
3,256,15,0.597596,0.582790,0.584546
6,128,3,0.504411,0.474202,0.539154
6,128,5,0.514641,0.459159,0.495581
6,128,7,0.489693,0.510381,0.470042
6,128,9,0.564044,0.515451,0.489255
6,128,11,0.513597,0.546031,0.534918
6,128,13,0.474822,0.482570,0.473541
6,128,15,0.557279,0.565573,0.599454
6,192,3,0.569739,0.483824,0.479112
6,192,5,0.493994,0.511021,0.522352
6,192,7,0.506392,0.478315,0.471503
6,192,9,0.462786,0.450802,0.458532
6,192,11,0.545343,0.514021,0.511068
6,192,13,0.487727,0.491099,0.465077
6,192,15,0.572860,0.574330,0.567941
6,256,3,0.509401,0.481268,0.471929
6,256,5,0.500451,0.523923,0.533534
6,256,7,0.460473,0.483770,0.459501
6,256,9,0.468860,0.485916,0.473676
6,256,11,0.500945,0.491093,0.508660
6,256,13,0.505057,0.505659,0.499664
6,256,15,0.626339,0.588979,0.618370
