Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,62.763464,60.945049,60.824174
1,4,34.523861,34.550831,34.498765
1,8,20.008790,20.069414,20.060222
1,16,12.771952,12.775967,12.729376
1,32,9.079859,9.069099,9.088459
1,64,7.327878,7.338467,7.288124
1,128,6.572870,6.596765,6.568122
1,256,6.179591,6.176330,6.180799
2,2,33.225343,33.107786,33.151562
2,4,19.996352,19.968697,19.977230
2,8,12.701573,12.729030,12.744489
2,16,9.133388,9.119673,9.134572
2,32,7.249076,7.221906,7.696156
2,64,6.359157,6.413837,6.428282
2,128,5.982885,6.030545,6.013700
2,256,5.768385,5.795881,5.836512
7,2,13.421761,13.413203,13.367037
7,4,9.583434,9.546036,9.630455
7,8,7.520458,7.529812,7.500359
7,16,6.496438,6.568233,6.488509
7,32,6.487257,5.957017,5.951714
7,64,5.743423,5.737662,5.716456
7,128,5.646525,5.562302,5.609102
7,256,5.496317,6.167482,5.564080
14,2,9.340080,9.428100,9.388481
14,4,7.494884,7.556488,7.481818
14,8,6.462839,6.479217,6.518233
14,16,5.934204,5.924582,5.936073
14,32,5.785367,5.737479,5.787685
14,64,5.892059,5.900999,5.918352
14,128,5.839028,5.824415,5.829938
14,256,5.829082,5.811205,5.839892
21,2,11.192848,11.228270,11.221237
21,4,8.637411,8.602966,8.604753
21,8,7.228456,7.251075,7.177638
21,16,6.557275,6.524293,6.484543
21,32,6.139339,6.122058,6.090444
21,64,5.984054,5.955412,5.968768
21,128,5.823326,5.946420,5.872400
21,256,5.837552,5.856959,5.871268
28,2,10.069872,10.098086,10.151331
28,4,8.036062,8.064921,8.052134
28,8,6.912465,6.945824,6.833427
28,16,6.452127,6.306894,6.282587
28,32,6.043133,6.069349,6.013268
28,64,5.672817,5.661964,5.920259
28,128,5.885535,5.647789,5.778322
28,256,5.936309,5.571772,5.625425
