Kernel_size,Threads,Try_1,Try_2,Try_3
3,1,0.859723,0.860695,0.855121
3,2,0.635599,0.661926,0.647635
3,3,5.777067,4.142251,4.139559
3,4,6.025654,4.270136,3.736523
3,5,3.546816,3.421039,3.413861
3,6,6.409908,3.955786,3.681828
3,7,6.968952,4.514230,4.215941
3,8,4.558871,4.693887,4.910498
5,1,1.485631,1.483261,1.482838
5,2,0.965028,0.948001,0.936270
5,3,5.163870,4.475796,4.054345
5,4,5.094799,4.270351,3.984960
5,5,3.511632,3.517580,3.506948
5,6,5.840153,4.036104,3.757884
5,7,6.387163,4.427987,4.277934
5,8,4.612720,4.779092,4.979722
7,1,2.452430,2.447648,2.452545
7,2,1.426226,1.397497,1.408934
7,3,5.328365,4.496417,4.360491
7,4,5.455589,4.208443,4.069939
7,5,3.687761,3.671941,3.822123
7,6,5.980340,4.303346,4.324790
7,7,6.348819,4.548144,4.268976
7,8,4.708078,4.859582,5.047929
9,1,3.707472,3.710947,3.710790
9,2,2.042413,2.077225,2.056808
9,3,6.176488,4.911075,4.787525
9,4,5.771955,4.525520,4.385864
9,5,3.939425,3.920493,4.342144
9,6,5.477622,4.238609,4.571469
9,7,6.547509,4.729442,4.440605
9,8,4.852788,5.205707,5.208944
11,1,5.334790,5.338928,5.331565
11,2,2.860352,2.888409,2.839643
11,3,6.291033,5.865141,5.208245
11,4,6.871290,6.393359,6.484892
11,5,5.474774,5.983358,5.778472
11,6,9.454916,6.087770,5.575303
11,7,9.577368,6.973507,6.536908
11,8,7.219939,7.481603,8.231476
13,1,19.129606,18.622504,19.981510
13,2,5.644597,4.493154,3.807047
13,3,12.313955,8.331607,8.224392
13,4,12.741579,7.311494,7.967787
13,5,5.813672,6.245831,6.229872
13,6,10.248396,6.305872,6.975371
13,7,9.813336,7.245463,6.727904
13,8,8.001244,6.812414,7.982167
15,1,28.713756,32.275728,26.644310
15,2,9.767525,9.913603,11.167714
15,3,14.818854,10.217478,9.745109
15,4,15.502275,8.174034,8.486269
15,5,7.271845,6.997626,7.721212
15,6,11.493355,6.665916,6.978595
15,7,11.248150,7.968519,7.971504
15,8,8.473975,7.665620,7.483902
