Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,14.133978,14.249450,14.252415
1,4,8.114931,8.180174,8.098100
1,8,5.064890,5.081312,5.110158
1,16,3.654961,3.687419,3.676826
1,32,2.976077,2.990574,2.987274
1,64,2.707712,2.688379,2.710991
1,128,2.416160,2.415007,2.396206
1,256,2.225090,2.184454,2.211988
2,2,8.055953,8.017627,8.008880
2,4,5.025672,5.015791,5.064870
2,8,3.560370,3.576574,3.518324
2,16,2.863797,2.792791,2.788671
2,32,2.422751,2.460776,2.430282
2,64,2.291031,2.248970,2.261980
2,128,2.105864,2.112347,2.116514
2,256,3.665987,3.620148,3.680435
7,2,3.752000,3.759460,3.805515
7,4,2.930165,2.940210,2.887100
7,8,2.674165,2.673085,2.677644
7,16,2.444715,2.409957,2.497191
7,32,2.322164,2.345946,2.313420
7,64,3.663731,3.637836,3.645723
7,128,3.713156,3.616446,3.663661
7,256,3.631529,3.613350,3.608380
14,2,2.854740,2.910752,2.872125
14,4,2.659662,2.631364,2.601698
14,8,2.398378,2.430781,2.430467
14,16,2.327354,2.264891,2.290477
14,32,3.635892,3.848600,3.687198
14,64,3.612267,3.623780,3.681394
14,128,3.614308,3.598973,3.595760
14,256,3.600414,3.590760,3.591100
21,2,2.680108,2.694281,2.658408
21,4,2.675912,2.664862,2.663248
21,8,3.057785,3.024300,3.029547
21,16,3.021096,3.014334,2.978906
21,32,5.077080,5.022360,5.069259
21,64,9.288964,9.476787,9.220424
21,128,9.176401,9.214811,9.260227
21,256,26.229594,26.308553,26.220142
28,2,2.645485,2.626526,2.612050
28,4,2.407084,2.386615,2.363270
28,8,2.305730,2.302108,2.282356
28,16,3.687105,3.649463,3.715080
28,32,3.662277,3.639911,3.645659
28,64,3.625162,3.585273,3.637759
28,128,3.690877,3.608242,3.591860
28,256,26.226720,26.331078,26.220152
