Num_blocks,Threads,Try_1,Try_2,Try_3
1,2,56.284847,56.274452,56.268297
1,4,29.984809,30.009479,30.011357
1,8,15.465253,15.474420,15.503189
1,16,8.227971,8.212544,8.230765
1,32,4.541858,4.547171,4.534441
1,64,2.794545,2.815763,2.784959
1,128,1.990491,2.014401,2.009098
1,256,1.622043,1.578003,1.580940
2,2,28.602276,28.612505,28.606575
2,4,15.464416,15.456456,15.464269
2,8,8.189309,8.176481,8.203841
2,16,4.581353,4.563763,4.581479
2,32,2.743963,2.693906,2.723902
2,64,1.844839,1.869950,1.829589
2,128,1.483451,1.477520,1.488330
2,256,1.247180,1.265174,1.266075
7,2,8.836408,8.805336,8.812556
7,4,5.098992,5.047767,5.038830
7,8,2.983717,2.995281,2.986843
7,16,1.934141,1.936297,1.937662
7,32,1.430253,1.423924,1.416633
7,64,1.250373,1.175225,1.219916
7,128,1.082333,1.067183,1.051248
7,256,0.995215,0.992258,0.978240
14,2,4.882419,4.859095,4.874271
14,4,2.976872,2.963972,2.971076
14,8,1.954627,1.964198,1.960928
14,16,1.431547,1.425691,1.427542
14,32,1.170407,1.166760,1.170214
14,64,1.050634,1.021625,1.042301
14,128,0.976231,0.967596,0.969202
14,256,0.962275,0.925911,0.919484
21,2,6.320081,6.302877,6.320570
21,4,3.746851,3.733296,3.727645
21,8,2.347953,2.330573,2.340010
21,16,1.610490,1.606334,1.623094
21,32,1.231924,1.265343,1.245875
21,64,1.102101,1.101332,1.094176
21,128,0.953452,0.933350,0.964226
21,256,0.941475,0.901312,0.890216
28,2,5.150159,5.144540,5.149953
28,4,3.099531,3.079729,3.069178
28,8,1.988230,1.980052,1.979071
28,16,1.432467,1.400626,1.438426
28,32,1.134532,1.120039,1.155512
28,64,0.969489,0.977243,0.963498
28,128,0.896784,0.905762,0.910913
28,256,0.879389,0.883700,0.884762
